data_unique,title_orig,title_cn,description_orig,description_cn,content_orig,content_cn,date_published,lang,countries,locations,source_url,source_database,download_url,categories,event_id,see_also,files,disease_name,disease_pathogen,is_virus_related,is_drug_resist,is_vector_borne,is_respiratory,is_unknown_disease,is_multi_countries,is_human_disease,death_count,create_time,update_time,disease_orig,country_orig,label_json,label_update_time
/multi-country-outbreak-of-mpox--external-situation-report-34--28-june-2024,"Multi-country outbreak of mpox, External situation report#34- 28 June 2024",,"
        <h3>Overview </h3>
<div><span style=""background-color:initial;font-family:inherit;font-size:inherit;text-align:inherit;text-transform:inherit;word-spacing:normal;caret-color:auto;white-space:inherit;"">This is the 34th situation report for the multi-country outbreak of mpox, which provides details on the latest epidemiology. This edition also features significant developments, including a spotlight on the mpox situation in South Africa and important updates on the mpox vaccines space.</span><br></div>
      ",,,,2024-06-28,,"[""南非""]",,https://www.who.int/publications/m/item/multi-country-outbreak-of-mpox--external-situation-report-34--28-june-2024,who_situation_reports,https://cdn.who.int/media/docs/default-source/health-emergency-information-risk-assessment/20240628_mpox_external-sitrep_34.pdf?sfvrsn=7a4abfce_1&download=true,,,,,,,,,,,,,,,2024-06-30 00:00:49,2024-06-30 00:20:16,,,,
/influenza-update-n--481,Influenza Update N° 481,,"
        <h3>Overview </h3>
<sup>Published 26 June 2024 | For reporting Week 24, ending 16 June 2024</sup><br><h3>Influenza</h3><ul><li>IIn the Northern hemisphere, elevated influenza activity continued to be reported in countries in Central America and the Caribbean and in South Asia, primarily due to influenza A(H3N2) viruses. In Western Africa, influenza activity, due primarily to influenza A(H3N2) and B viruses, was elevated and increasing in some countries. In most temperate countries, influenza activity remained low at interepidemic levels. </li><li>In the Southern hemisphere, influenza activity in countries in South America, and Oceania and in South Africa continues to be elevated but there are indications that activity may have peaked in some countries in South America and in South Africa. In South America activity was primarily due to A(H3N2) viruses, in South Africa A(H1N1)pdm09 viruses predominated, and in Oceania both A(H1N1)pdm09 and A(H3N2) viruses circulated.</li></ul>&nbsp;
<h3>SARS-CoV-2</h3><ul><li>SARS-CoV-2 activity, reported from sentinel surveillance in 57 countries, was elevated and increasing in some countries in South West Europe, and elevated activity was reported in some countries in Western Africa and South East Asia.
    </li></ul>WHO encourages countries, especially those that have received the <a href=""https://www.cdc.gov/coronavirus/2019-ncov/lab/multiplex.html"" data-sf-ec-immutable="""">multiplex influenza and SARS-CoV-2</a> reagent kits from GISRS,&nbsp;to conduct integrated surveillance of influenza and SARS-CoV-2 and report epidemiological and laboratory information in a timely manner to established regional and global platforms. The guidance can be found here <a href=""/publications/i/item/WHO-2019-nCoV-integrated_sentinel_surveillance-2022.1"" data-sf-ec-immutable="""">https://www.who.int/publications/i/item/WHO-2019-nCoV-integrated_sentinel_surveillance-2022.1.</a>
      ",,,,2024-06-26,,"[""韩国"", ""南非""]",,https://www.who.int/publications/m/item/influenza-update-n--481,who_situation_reports,https://cdn.who.int/media/docs/default-source/influenza/influenza-updates/2024/20240626_who-respiratory-virus-update_481.pdf?sfvrsn=f8c01601_1&download=true,,,,,"[""流行性感冒/流感""]",,,,,,,,,,2024-06-28 00:01:10,2024-06-28 00:20:30,,,,
/who-s-operational-update-on-health-emergencies---may-2024,WHO's Operational Update on Health Emergencies - May 2024,,"
        <h3>Overview </h3>
<p><span style=""background-color:transparent;text-align:inherit;text-transform:inherit;word-spacing:normal;caret-color:auto;white-space:inherit;"">WHO's Operational Update on Health Emergencies, published monthly, highlights WHO’s work on preparedness and emergency response, combating health crises across the globe. Stay informed on WHO’s strategic, evidence-based and science-driven support in partnership with countries, to deliver best-in-class rapid response while building resilience to future health threats.</span></p><p>&nbsp;</p><p>&nbsp;</p><p>&nbsp;</p>
      ",,,,2024-06-25,,,,https://www.who.int/publications/m/item/who-s-operational-update-on-health-emergencies---may-2024,who_situation_reports,https://cdn.who.int/media/docs/default-source/documents/emergencies/who-wou-may-2024.pdf?sfvrsn=507dc78d_3&download=true,,,,,,,,,,,,,,,2024-06-26 00:01:17,2024-06-26 00:01:17,,,,
/influenza-update-n--480,Influenza Update N° 480,流感更新第 480 期,"
        <h3>Overview </h3>
<sup>Published 19 June 2024 | For reporting Week 23, ending 09 June 2024</sup><br><h3>Influenza</h3><ul><li>In the Northern hemisphere, elevated influenza activity continued to be reported in countries in Central America and the Caribbean and in South Asia, primarily due to influenza A(H3N2) viruses. In most temperate countries, influenza activity remained low at interepidemic levels. </li><li>In the Southern hemisphere, countries in South America, South Africa, and Oceania reported elevated activity. In South America activity was primarily due to A(H3N2) viruses, in South Africa A(H1N1)pdm09 viruses predominated, and in Oceania A(H1N1)pdm09 and A(H3N2) viruses circulated.</li></ul>&nbsp;
<h3>SARS-CoV-2</h3><ul><li>SARS-CoV-2 activity, reported from sentinel surveillance in 65 countries, was elevated and increasing in some countries in Central American and the Caribbean, South West Europe, Northern Europe, and South East Asia.
    </li></ul>WHO encourages countries, especially those that have received the <a href=""https://www.cdc.gov/coronavirus/2019-ncov/lab/multiplex.html"" data-sf-ec-immutable="""">multiplex influenza and SARS-CoV-2</a> reagent kits from GISRS,&nbsp;to conduct integrated surveillance of influenza and SARS-CoV-2 and report epidemiological and laboratory information in a timely manner to established regional and global platforms. The guidance can be found here <a href=""/publications/i/item/WHO-2019-nCoV-integrated_sentinel_surveillance-2022.1"" data-sf-ec-immutable="""">https://www.who.int/publications/i/item/WHO-2019-nCoV-integrated_sentinel_surveillance-2022.1.</a>
      ",流感情况通报第 480 期,,,2024-06-19,,"[""韩国"", ""南非""]",,https://www.who.int/publications/m/item/influenza-update-n--480,who_situation_reports,https://cdn.who.int/media/docs/default-source/influenza/influenza-updates/2024/20240619_who-respiratory-virus-update_480.pdf?sfvrsn=de52b034_1&download=true,,,,,"[""新型冠状病毒感染""]",,,,,,,,,,2024-06-20 00:00:58,2024-06-20 00:20:14,,,,
/multi-country-outbreak-of-cholera--external-situation-report--15---19-june-2024,"Multi-country outbreak of cholera, External situation report #15 - 19 June 2024",多国霍乱疫情，外部状况报告 #15 - 2024 年 6 月 19 日,"
        <h3>Overview </h3>
<p>From 1 January 2024 to 26 May 2024, a cumulative total of 194 897 cholera cases and 1932 deaths were reported from 24 countries across five WHO regions, with the Eastern Mediterranean Region recording the highest numbers, followed by the African Region, the Region of the Americas, the South-East Asia Region, and the European Region. No outbreaks were reported in the Western Pacific Region during this time.</p><p>The global stockpile of Oral Cholera Vaccines (OCV) was depleted until early March but exceeded the emergency target of 5 million doses in early June for the first time in 2024. As of 10 June 2024, the stockpile has 6.2 million doses. However, demand for the vaccine continues to outpace supply. Since January 2023, 92 million OCV doses were requested by 16 countries, nearly double the 49 million doses produced during this period. </p><p>WHO classified the global resurgence of cholera as a grade 3 emergency in January 2023, the highest internal level for emergencies in WHO. Based on the number of outbreaks and their geographic expansion, alongside the shortage of vaccines and other resources, WHO continues to assess the risk at the global level as very high and the event remains classified as a grade 3 emergency.&nbsp;&nbsp;</p>
        <div id=""dynamic-content__accordion"" class=""dynamic-content__accordion"">
         <p>Cholera upsurge (2021-present):&nbsp;<a href=""https://www.who.int/emergencies/situations/cholera-upsurge"" data-sf-ec-immutable="""">https://www.who.int/emergencies/situations/cholera-upsurge/</a>&nbsp;</p>
        </div>
      ",多国霍乱疫情爆发，外部情况报告 15 号 - 2024 年 6 月 19 日,,,2024-06-19,,,,https://www.who.int/publications/m/item/multi-country-outbreak-of-cholera--external-situation-report--15---19-june-2024,who_situation_reports,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20240619_multi-country_outbreak-of-cholera_sitrep_15.pdf?sfvrsn=80f3d7af_3&download=true,,,,,"[""霍乱""]",,,,,,,,,,2024-06-20 00:00:56,2024-06-20 00:00:56,,,,
/sudan-conflict-and-refugee-crisis-1,"Sudan conflict and refugee crisis, Multi-country External Situation Report #1 - 18 June 2024",苏丹冲突与难民危机，多国外部局势报告 #1 - 2024 年 6 月 18 日,"
        <h3>Overview </h3>
<div>This situation report is the first WHO report summarizing the multi-country health situation and WHO response across the regional emergency caused by the conflict in Sudan. Since the start of the conflict in April 2023, 10 million have been displaced internally—the largest number in the world—and 2 million into neighbouring countries including Chad, South Sudan, Egypt, and the Central African Republic. There is frequent re-displacement as lines of control continue to shift between the parties involved in the conflict.&nbsp;&nbsp;</div><div><br></div><div>In addition to direct health effects of the conflict such as trauma, there has been extensive damage and disruption to the health system in Sudan, with millions in the country lacking access to healthcare, further exacerbating the already fragile health of many already vulnerable people.&nbsp;&nbsp;</div>
      ",苏丹冲突与难民危机，多国外部情况报告 #1 - 2024 年 6 月 18 日,,,2024-06-18,,"[""韩国""]",,https://www.who.int/publications/m/item/sudan-conflict-and-refugee-crisis-1,who_situation_reports,https://cdn.who.int/media/docs/default-source/documents/emergencies/situation-reports/20240611_sudan-emergency-sitrep-1.pdf?sfvrsn=314b523_2&download=true,,,,,,,,,,,,,,,2024-06-19 00:00:55,2024-06-19 00:20:08,,,,
/covid-19-epidemiological-update-edition-168,COVID-19 epidemiological update – 17 June 2024,"**2024 年 6 月 17 日新冠病毒流行病学更新**

- **全球：**
    - 报告确诊病例数：8.63 亿例
    - 报告死亡病例数：700 万例
    - 死亡率：8.12%
- **区域：**
    - 非洲：确诊病例数 500 万例，死亡病例数 11.6 万例。
    - 美洲：确诊病例数 2.15 亿例，死亡病例数 390 万例。
    - 东南亚：确诊病例数 1.88 亿例，死亡病例数 210 万例。
    - 欧洲：确诊病例数 2.65 亿例，死亡病例数 520 万例。
    - 东地中海：确诊病例数 8100 万例，死亡病例数 150 万例。
    - 西太平洋：确诊病例数 1.2 亿例，死亡病例数 210 万例。
- **疫苗接种：**
    - 全球已接种疫苗剂次：130 亿剂
    - 已完成全程接种的人口比例：75%
- **变异株：**
    - 目前流行的主要变异株：Omicron BA.5
- **治疗：**
    - 多种抗病毒药物被批准用于治疗新冠病毒，包括：莫努匹韦（molnupiravir）、瑞德西韦（remdesivir）和 paxlovid。
- **公共卫生措施：**
    - 持续采取公共卫生措施，包括：戴口罩、保持社交距离、勤洗手和接种疫苗。

**来源：**
世界卫生组织（WHO）

**备注：**

- 这些数据是截至 2024 年 6 月 16 日的最新数据。
- 由于报告延迟和其他因素，实际病例数和死亡人数可能更高。","
        <h3>Overview </h3>
<p>SARS-CoV-2 PCR percent positivity, as detected in integrated sentinel
 surveillance as part of the Global Influenza Surveillance and Response 
System (GISRS) and reported to FluNet was 6.3% from 80 countries during 
the week ending 26 May 2024 compared 7.1% from 87 countries from the 
previous week.&nbsp;</p><p>KP.2 and KP.3, both descendent lineages of JN.1 
and variants under monitoring (VUMs) continue to show increasing 
prevalence globally. They accounted for 22.7% and 22.4% of sequences in 
week 21 compared to 14.6% and 13.0% in week 18, respectively. Globally, 
JN.1 is the most reported variant of interest (VOI) (now reported by 132
 countries), accounting for 47.1% of sequences in week 21 and having 
declined from a prevalence of 56.0% in week 18.</p><p>Globally, the 
number of new cases decreased by 11% during the past 28-day period of 29
 April to 26 May 2024 compared to the previous 28-day period (1 to 28 
April 2024), with over one hundred and twenty-nine thousand new cases 
reported. The number of new deaths decreased by 36% as compared to the 
previous 28-day period, with over 1800 new fatalities reported. As of 26
 May 2024, over 775 million confirmed cases and more than seven million 
deaths have been reported globally.&nbsp;</p><p>During the period from 29 
April to 26 May 2024, COVID-19 new hospitalizations and admissions to an
 intensive care unit (ICU) both recorded an overall decrease of 57% and 
38% with over 14 000 and more than 400 admissions, respectively, from 
countries consistently reporting.</p><p>WHO published the latest <a href=""https://www.technet-21.org/en/resources/report/covid-19-vaccination-insights-report-07-june-2024"" data-mce-href=""https://www.technet-21.org/en/resources/report/covid-19-vaccination-insights-report-07-june-2024"">COVID-19 Vaccination Insights Report</a>
 for quarter one (Jan-Mar) 2024. Globally, 9.8 million individuals 
received a dose of COVID-19 vaccine across 73 reporting Member States 
(MS). containing 22% of the global population. Among older adults, 4.9 
million individuals received a dose across the 60 MS reporting on uptake
 in this group, corresponding to an uptake rate of 0.42% so far this 
year.</p><p>In this edition, we include:&nbsp;</p><ul><li>The COVID-19 epidemiological update at the global and regional levels.</li><li>An update on hospitalizations and ICU admissions.</li><li>An update on the SARS-CoV-2 variants of interest (VOI) and variants under monitoring (VUM).</li></ul>
        <div id=""dynamic-content__accordion"" class=""dynamic-content__accordion"">
         <p><a target=""_blank"" href=""/emergencies/diseases/novel-coronavirus-2019/situation-reports"">All COVID-19 Epidemiological and Operational Updates</a>&nbsp;</p><p></p>
        </div>
      ",2024 年 6 月 17 日新冠病毒流行病学更新,,,2024-06-17,,,,https://www.who.int/publications/m/item/covid-19-epidemiological-update-edition-168,who_situation_reports,https://www.who.int/docs/default-source/coronaviruse/situation-reports/20240617_covid-19_epi_update_168.pdf?sfvrsn=27a879e1_1&download=true,,,,,"[""新型冠状病毒感染""]",,,,,,,,,,2024-06-19 00:00:58,2024-06-19 00:00:58,,,,
/influenza-update-n--479,Influenza Update N° 479,流感最新动态第 479 期,"
        <h3>Overview </h3>
<sup>Published 12 June 2024 | For reporting Week 22, ending 02 June 2024</sup><br><h3>Influenza</h3><ul><li>In the Northern hemisphere, elevated influenza activity continued to be reported in countries in Central America and the Caribbean and in South Asia, primarily due to influenza A(H3N2) viruses. In most temperate countries, influenza activity remained low at interepidemic levels. </li><li>In the Southern hemisphere, countries in South America, South Africa, and Oceania reported elevated activity. In South America activity was primarily due to A(H3N2) viruses, in South Africa A(H1N1)pdm09 viruses predominated, and in Oceania A(H1N1)pdm09 and A(H3N2) viruses co-circulated.</li></ul>&nbsp;
<h3>SARS-CoV-2</h3><ul><li>SARS-CoV-2 activity, reported from sentinel surveillance in 56 countries, was low overall. Some countries in South West Europe, Western Asia, South Asia, South East Asia, and Oceania reported elevated activity. Small increases in activity were reported in South West Europe and South Asia.
    </li></ul>WHO encourages countries, especially those that have received the <a href=""https://www.cdc.gov/coronavirus/2019-ncov/lab/multiplex.html"" data-sf-ec-immutable="""">multiplex influenza and SARS-CoV-2</a> reagent kits from GISRS,&nbsp;to conduct integrated surveillance of influenza and SARS-CoV-2 and report epidemiological and laboratory information in a timely manner to established regional and global platforms. The guidance can be found here <a href=""/publications/i/item/WHO-2019-nCoV-integrated_sentinel_surveillance-2022.1"" data-sf-ec-immutable="""">https://www.who.int/publications/i/item/WHO-2019-nCoV-integrated_sentinel_surveillance-2022.1.</a>
      ",流感动态 N° 479,,,2024-06-12,,"[""韩国"", ""南非""]",,https://www.who.int/publications/m/item/influenza-update-n--479,who_situation_reports,https://cdn.who.int/media/docs/default-source/influenza/influenza-updates/2024/20240612_who-respiratory-virus-update_479.pdf?sfvrsn=65e26c4f_1&download=true,,,,,"[""新型冠状病毒感染""]",,,,,,,,,,2024-06-13 00:00:44,2024-06-18 11:17:16,,,,
/influenza-at-the-human-animal-interface-summary-and-assessment--7-june-2024,"Influenza at the human-animal interface summary and assessment, 7 June 2024",,"
        <h3>Overview </h3>
<p>From 4 May to 7 June 2024, four human cases of infection with influenza A(H5N1) viruses, one human case of infection with an influenza A(H5N2) virus, two human cases of infection with influenza A(H5N6) viruses, and three human cases of infection with influenza A(H9N2) viruses were reported officially.&nbsp;</p>
      ",,,,2024-06-07,,,,https://www.who.int/publications/m/item/influenza-at-the-human-animal-interface-summary-and-assessment--7-june-2024,who_situation_reports,https://cdn.who.int/media/docs/default-source/2021-dha-docs/influenza-at-the-human-animal-interface-summary-and-assessment--from-4-may-to-7-june-2024.pdf?sfvrsn=48c2de05_3&download=true,,,,,"[""人感染动物源性流感【注意：该类疾病下面有很多流感病毒亚型（有的是猪流感病毒感染人，有的是禽流感病毒感染人），都要列出来】""]",,,,,,,,,,2024-06-26 00:01:39,2024-06-26 00:01:39,,,,
/influenza-update-n--478,Influenza Update N° 478,流感更新第 478 号,"
        <h3>Overview </h3>
<sup>Published 06 June 2024 | For reporting Week 21, ending 26 May 2024</sup><br><h3>Influenza</h3><ul><li>In the Northern hemisphere, elevated influenza activity continued to be reported in countries in Central America and the Caribbean and in South Asia, primarily due to influenza A(H3N2) viruses. In most temperate countries, influenza activity remained low at interepidemic levels. </li><li>In the Southern hemisphere, countries in South America and South Africa continued to report elevated and increasing influenza activity and countries in Oceania reported elevated activity. In South America, activity was primarily due to A(H3N2) viruses, while in South Africa and Oceania influenza activity was primarily due to A(H1N1)pdm09 viruses.</li></ul>&nbsp;
<h3>SARS-CoV-2</h3><ul><li>SARS-CoV-2 activity, reported from sentinel surveillance in 63 countries, was low overall. Some countries in Middle Africa, Western Asia, South Asia, South East Asia, and Oceania reported elevated activity. Small increases in activity were reported in South West Europe, Eastern Africa, and South East Asia.
    </li></ul>WHO encourages countries, especially those that have received the <a href=""https://www.cdc.gov/coronavirus/2019-ncov/lab/multiplex.html"" data-sf-ec-immutable="""">multiplex influenza and SARS-CoV-2</a> reagent kits from GISRS,&nbsp;to conduct integrated surveillance of influenza and SARS-CoV-2 and report epidemiological and laboratory information in a timely manner to established regional and global platforms. The guidance can be found here <a href=""/publications/i/item/WHO-2019-nCoV-integrated_sentinel_surveillance-2022.1"" data-sf-ec-immutable="""">https://www.who.int/publications/i/item/WHO-2019-nCoV-integrated_sentinel_surveillance-2022.1.</a>
      ",流感最新情况 第 478 期,,,2024-06-06,,"[""韩国"", ""南非""]",,https://www.who.int/publications/m/item/influenza-update-n--478,who_situation_reports,https://cdn.who.int/media/docs/default-source/influenza/influenza-updates/2024/20240606_who-respiratory-virus-update_478.pdf?sfvrsn=3ab35df9_1&download=true,,,,,"[""新型冠状病毒感染""]",,,,,,,,,,2024-06-07 00:00:36,2024-06-18 11:17:09,,,,
